Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major,
-10.4,-0.8,-0.8,-5.2,
13.1,5.8,10.8,-0.6,
36.6,-2.9,15.4,2.4,
51.9,-11.0,2.5,3.9,
54.5,-3.6,0.7,4.4,
52.0,-6.4,-4.0,-2.2,
49.7,1.6,-8.2,0.7,
39.3,2.7,0.9,-1.9,
18.3,7.6,2.0,0.5,
4.4,6.8,1.0,1.3,
-8.2,7.7,3.9,-5.8,
-10.5,4.1,-9.3,-2.9,
-25.2,0.9,-3.7,-0.2,
-27.1,-4.4,-1.9,0.7,
-15.1,-5.1,2.8,0.0,
-10.5,-1.7,-7.0,4.7,
-9.2,4.9,-3.1,3.0,
-5.4,7.7,-4.1,-4.0,
-7.2,5.3,-3.9,-2.4,
-3.8,12.6,-0.7,-3.3,
-11.2,7.8,-1.5,-0.5,
-10.2,5.2,10.1,-1.2,
-12.9,7.7,2.4,-1.8,
-15.3,9.9,1.2,-3.7,
-7.3,0.1,0.1,3.0,
-4.2,-4.0,15.6,-10.1,
-1.3,-7.8,13.6,-0.5,
3.1,-15.9,8.2,-2.1,
-8.9,-6.2,20.4,-3.5,
-34.8,0.4,6.4,3.7,
-45.9,1.6,4.8,7.7,
-22.2,4.8,27.4,-2.8,
-0.8,5.9,18.5,10.1,
7.5,3.3,10.4,8.6,
5.0,4.2,8.2,4.1,
2.8,-0.8,6.1,5.6,
9.1,-2.7,8.4,4.4,
11.0,-10.4,10.5,3.4,
23.2,-9.3,2.1,6.7,
43.6,-2.5,-8.5,2.0,
41.0,-1.6,-6.9,1.3,
23.5,7.2,-8.0,2.2,
-1.7,6.2,-11.2,-5.7,
-4.9,7.2,-5.7,-6.6,
-7.9,10.2,-4.5,-7.5,
6.1,11.1,-8.6,-2.9,
13.7,3.8,-7.6,-2.0,
15.9,-2.9,-5.2,-2.6,
22.2,-14.3,-14.9,-0.5,
20.3,-12.8,-7.6,-7.0,
25.5,-22.6,1.7,-2.4,
20.8,-23.9,-1.6,1.7,
5.2,-13.3,-11.0,-1.8,
-9.4,-11.9,-12.0,-2.3,
-14.9,-5.5,-17.7,-0.4,
-9.7,-6.6,-16.4,-1.8,
-4.9,-3.5,-11.4,-5.1,
-9.0,-4.5,-12.1,-7.1,
-7.7,-16.0,-3.1,-1.7,
-13.5,-5.1,0.6,5.0,
-10.4,-0.9,-2.4,4.3,
-7.5,8.2,-7.0,2.0,
-4.9,9.3,6.3,7.2,
-8.9,1.9,12.1,4.0,
-11.1,-1.0,10.6,7.1,
-7.8,-0.2,-3.4,8.7,
-9.5,2.2,-5.1,2.3,
-6.9,5.7,-3.2,-2.0,
-9.4,9.0,7.8,-7.5,
-2.7,3.5,6.6,0.6,
-3.6,4.1,-7.6,1.7,
-2.7,8.6,9.7,-6.9,
1.3,7.9,3.0,-3.4,
-0.8,10.4,-7.4,-4.3,
2.5,4.9,2.2,-3.3,
-2.9,2.7,0.6,10.1,
-0.6,3.3,5.4,0.7,
-2.5,5.0,4.1,-7.8,
-1.8,5.4,-2.3,0.0,
-1.2,2.9,-3.4,1.5,
3.4,2.4,-8.7,2.8,
-0.8,2.0,-15.4,-0.5,
4.2,-0.5,-2.1,-16.5,
-0.3,0.4,7.4,-14.2,
-2.0,-4.1,16.0,-7.8,
-9.0,-0.8,11.3,1.7,
-13.8,0.9,-7.3,3.4,
-18.2,4.6,-4.8,1.9,
-30.2,4.1,2.0,6.0,
-28.5,1.0,8.2,-0.4,
-17.6,1.4,9.9,-3.9,
-7.8,-4.1,4.7,12.1,
1.2,1.5,-3.2,18.9,
18.8,5.1,-1.9,12.6,
